number;dtscore;dtscore_aux;dtscoreco;dtscoreco_aux;edad;IBC;labor;calificacion;ingresos;pendeuda;co;credito;yeardde;tinteres;ncuotas;genero;cuota;capacidad;antiguedad_laboral;estrato;tipo_vivienda;nivel_educativo;creditos_activos;personas_hogar;eactual
158;-999;1;817;0;20;7;EMPLEADO ;C1;1800000;0.19;1;7695000;2025;0.0187;48;HOMBRE;249668;0.14;1;1;arriendo;basica;2;4;0
159;-999;1;779;0;21;6;EMPLEADO ;C1;3000000;0.22;1;10045000;2025;0.0187;48;HOMBRE;325914;0.11;1;1;propia_pagando;basica;2;4;0
160;-999;1;794;0;25;6.2;EMPLEADO ;C1;3800000;0.11;1;15254000;2025;0.0187;72;HOMBRE;397946;0.12;3;1;arriendo;media;2;3;0
161;665;0;-999;1;34;7.4;EMPLEADO ;B1;4100000;0.15;0;13545000;2025;0.0187;71;HOMBRE;355676;0.09;9;3;propia_pagando;superior;1;3;0
162;-999;1;741;0;20;5.6;EMPLEADO ;C1;2800000;0;1;13045000;2025;0.0187;18;HOMBRE;869346;0.29;1;1;arriendo;basica;2;4;0
163;676;0;-999;1;32;6.5;EMPLEADO ;B1;4100000;0;0;15134000;2025;0.0187;48;HOMBRE;491029;0.11;7;2;propia_pagando;superior;1;3;0
164;766;0;-999;1;33;7.3;EMPLEADO ;B1;5700000;0;1;15045000;2025;0.0187;48;HOMBRE ;488142;0.08;8;2;propia_pagando;tecnica/tecnologica;2;4;0
165;702;0;-999;1;26;7.3;EMPLEADO ;B1;3000000;0.36;1;15045000;2025;0.0187;50;HOMBRE ;465790;0.16;4;;propia_pagando;media;2;3;0
166;692;0;-999;1;40;7.9;EMPLEADO ;B1;3900000;0.33;1;10045000;2025;0.0187;60;HOMBRE ;279951;0.08;15;4;propia;superior;1;2;0
167;693;0;-999;1;35;7.4;INDEPENDIENTE;B1;7000000;0.2;1;15045000;2025;0.0187;48;HOMBRE ;477610;0.05;10;3;propia;superior;1;3;0
168;683;0;-999;1;34;6.5;EMPLEADO ;B1;4000000;0;1;11255000;2025;0.0187;48;HOMBRE ;365200;0.09;8;3;propia_pagando;tecnica/tecnologica;2;3;0
169;771;0;791;0;30;7;INDEPENDIENTE;C1;3600000;0;1;11645000;2025;0.0187;36;HOMBRE ;455534;0.13;8;3;propia_pagando;tecnica/tecnologica;2;4;0
170;323;0;881;0;29;5.1;EMPLEADO ;C1;5500000;0.32;1;10545000;2025;0.0187;24;HOMBRE ;556731;0.1;6;3;propia;superior;1;3;0
171;699;0;-999;1;23;6.3;EMPLEADO ;B1;2400000;0.1;1;15045000;2025;0.0187;48;HOMBRE ;488150;0.2;2;1;arriendo;media;2;3;0
172;719;0;-999;1;33;6.3;EMPLEADO ;B1;3800000;0.14;1;15045000;2025;0.0187;48;HOMBRE ;488150;0.13;8;;propia_pagando;tecnica/tecnologica;2;4;0
173;722;0;683;0;19;5.8;INDEPENDIENTE;C1;1900000;0.01;0;11384000;2025;0.0187;72;HOMBRE ;296986;0.2;1;1;propia_pagando;basica;2;4;0
174;765;0;-999;1;24;5.3;EMPLEADO ;B1;2100000;0.13;0;11624000;2025;0.0187;36;HOMBRE ;454713;0.23;3;1;arriendo;media;2;2;0
175;729;0;-999;1;29;7.5;EMPLEADO ;B1;2600000;0.18;0;12284000;2025;0.0187;36;MUJER ;480531;0.19;6;2;propia_pagando;tecnica/tecnologica;2;3;0
176;748;0;820;0;20;5;EMPLEADO ;C1;1300000;0.06;0;15045000;2025;0.0187;50;HOMBRE ;476350;0.26;1;1;arriendo;basica;2;4;0
177;739;0;-999;1;29;7.3;EMPLEADO ;B1;4000000;0.32;0;12945000;2025;0.0187;48;HOMBRE ;420006;0.11;7;2;propia_pagando;superior;1;3;0
178;777;0;-999;1;23;5.4;EMPLEADO ;B1;1900000;0.07;0;13745000;2025;0.0187;48;HOMBRE ;445962;0.22;2;2;arriendo;media;2;2;0
179;800;0;-999;1;27;6.5;EMPLEADO ;B1;2150000;0.08;0;11045000;2025;0.0187;48;HOMBRE ;358360;0.19;4;2;propia_pagando;tecnica/tecnologica;2;3;0
180;716;0;-999;1;28;6.2;EMPLEADO ;B1;2300000;0.21;0;15045000;2025;0.0187;48;HOMBRE ;488142;0.2;6;2;propia_pagando;tecnica/tecnologica;2;4;0
181;695;0;-999;1;27;5.9;EMPLEADO ;B1;2400000;0.02;0;13134000;2025;0.0187;60;HOMBRE ;375234;0.2;5;2;propia_pagando;media;2;3;0
182;733;0;-999;1;40;6.6;EMPLEADO ;B1;3300000;0.17;0;15045000;2025;0.0187;48;HOMBRE;488142;0.14;14;;propia;tecnica/tecnologica;1;4;0
183;-999;1;782;0;19;6.2;EMPLEADO ;C1;1650000;0;0;7645000;2025;0.0187;36;HOMBRE ;299060;0.18;1;1;propia_pagando;basica;2;4;0
184;800;0;-999;1;29;5.8;INDEPENDIENTE;B1;2700000;0.28;0;12274000;2025;0.0187;48;MUJER;398235;0.15;4;2;propia_pagando;media;2;3;0
185;587;0;745;0;31;8.1;EMPLEADO ;C1;5600000;0.31;0;15255000;2025;0.0187;72;MUJER;397972;0.07;8;3;propia;superior;1;3;0
186;-999;1;-999;1;20;6.7;EMPLEADO ;B1;1700000;0;0;10045000;2025;0.0187;24;MUJER;530332;0.38;1;1;arriendo;basica;2;4;0
187;733;0;-999;1;25;6.8;EMPLEADO ;B1;1300000;0.09;0;6045000;2025;0.0187;19;MUJER ;571290;0.32;3;1;arriendo;media;2;3;0
188;698;0;-999;1;20;7.3;EMPLEADO ;B1;1100000;0;0;3803300;2025;0.0187;20;HOMBRE;198422;0.14;1;1;propia_pagando;basica;2;4;0
189;736;0;426;0;54;6.9;EMPLEADO ;C1;2700000;0.1;0;10045000;2025;0.0187;72;HOMBRE ;262054;0.1;25;4;propia;superior;1;2;0
190;-999;1;809;0;21;5.1;EMPLEADO ;C1;1500000;0;0;4364000;2025;0.0187;12;HOMBRE;412426;0.23;1;1;arriendo;basica;2;4;0
191;748;0;-999;1;34;6.1;INDEPENDIENTE;B1;2900000;0.21;0;12187000;2025;0.0187;36;MUJER;476800;0.19;9;3;propia_pagando;tecnica/tecnologica;2;4;0
192;727;0;706;0;22;7;EMPLEADO ;C1;2300000;0;0;10045000;2025;0.0187;24;HOMBRE ;593650;0.33;2;;arriendo;media;2;3;0
193;770;0;696;0;20;5.6;EMPLEADO ;C1;2000000;0;0;8124000;2025;0.0187;36;HOMBRE ;317800;0.16;1;1;propia_pagando;basica;2;4;0
194;781;0;-999;1;46;7.5;EMPLEADO ;B1;1600000;0.01;0;11885000;2025;0.0187;32;HOMBRE ;505230;0.39;18;4;propia;media;1;3;0
195;-999;1;740;0;21;5.1;EMPLEADO ;C1;2400000;0;0;13614000;2025;0.0187;48;HOMBRE ;432182;0.19;1;1;arriendo;basica;2;4;0
196;697;0;-999;1;28;8;EMPLEADO ;B1;2800000;0;0;14065000;2025;0.0187;36;HOMBRE ;550202;0.18;7;2;propia_pagando;superior;1;3;0
197;592;0;753;0;30;8.1;EMPLEADO ;C1;2500000;0.06;0;19045000;2025;0.0187;72;HOMBRE;496850;0.19;8;3;propia;superior;1;2;0
198;503;0;729;0;35;6.9;EMPLEADO ;C1;4200000;0;0;19445000;2025;0.0187;48;HOMBRE ;584900;0.15;12;3;propia;superior;1;3;0
199;803;0;-999;1;33;6.4;EMPLEADO ;B1;2100000;0;0;13242000;2025;0.0187;48;HOMBRE ;467250;0.23;8;;propia_pagando;tecnica/tecnologica;2;3;0
200;762;0;-999;1;28;4.8;EMPLEADO ;B1;2800000;0.32;0;6740000;2025;0.0187;48;MUJER;218700;0.08;6;2;propia_pagando;media;1;3;0
201;737;0;-999;1;24;7.4;EMPLEADO ;B1;2800000;0.07;0;13772000;2025;0.0187;48;HOMBRE ;446838;0.19;3;1;arriendo;media;2;2;0
202;628;0;-999;1;30;6.1;EMPLEADO ;B1;3900000;0;0;9545000;2025;0.0187;36;MUJER;373400;0.1;7;3;propia_pagando;tecnica/tecnologica;2;4;0
203;701;0;-999;1;34;6.6;EMPLEADO ;B1;2000000;0.18;0;16045000;2025;0.0187;72;MUJER;418582;0.17;9;3;propia_pagando;tecnica/tecnologica;2;3;0
204;746;0;-999;1;43;7.6;EMPLEADO ;B1;7300000;0.16;0;60045000;2025;0.0187;36;MUJER;2036384;0.11;18;4;propia;superior;1;3;0
205;683;0;-999;1;30;5.6;EMPLEADO ;B1;7500000;0.6;0;8034000;2025;0.0187;36;MUJER;315000;0.05;8;2;propia_pagando;media;2;3;0
206;750;0;-999;1;31;7;EMPLEADO ;B1;2800000;0;0;4825000;2025;0.0187;72;HOMBRE ;126000;0.05;8;3;propia_pagando;tecnica/tecnologica;2;4;0
