number;dtscore;dtscore_aux;dtscoreco;dtscoreco_aux;edad;IBC;labor;calificacion; ingresos ;pendeuda ;co; credito ;yeardde;tinteres; ncuotas  ;genero; cuota ;capacidad;antiguedad_laboral;estrato;tipo_vivienda;nivel_educativo;creditos_activos;personas_hogar; eactual 
11;752;0;-999;1;37;4,8;EMPLEADO ;B1;6700000;0,27;0;15650000;2022;0,023;70; HOMBRE;446874;0,07;2;1;propia_pagando;basica;3;4;1
12;392;0;731;0;31;7;EMPLEADO ;C1;1310000;0,47;1;5802000;2022;0,023;58; HOMBRE;179264;0,14;6;2;propia_pagando;tecnica/tecnologica;1;3;0
13;685;0;725;0;26;5,5;EMPLEADO ;C1;1349000;0,08;1;10890001;2022;0,0235;59; HOMBRE;340384;0,25;1;1;arriendo;basica;2;4;1
14;592;0;623;0;30;5,8;INDEPENDIENTE;C1;2300000;0,14;1;8170000;2022;0,0235;60; HOMBRE;255366;0,11;8;2;propia_pagando;media;2;4;0
15;461;0;764;0;32;7,3;EMPLEADO ;C1;2600000;0,3;1;11148800;2022;0,0235;36; HOMBRE;462360;0,18;9;3;propia;superior;1;3;0
16;734;0;693;0;23;5,6;EMPLEADO ;B1;1500000;0,26;1;10000000;2022;0,025;60; MUJER;323534;0,22;2;2;arriendo;media;2;2;0
17;698;0;-999;1;40;5,2;EMPLEADO ;C1;4709970;0,35;0;8347000;2022;0,027;60; HOMBRE;656052;0,14;1;1;propia_pagando;basica;3;4;1
18;402;0;834;0;27;5,9;EMPLEADO ;C1;1700000;0;1;11924000;2023;0,027;72; HOMBRE;377372;0,22;3;2;arriendo;media;2;3;0
19;655;0;-999;1;22;4,9;EMPLEADO ;B1;1800000;0;0;11954000;2023;0,03;72; HOMBRE;422722;0,23;1;1;arriendo;basica;2;4;1
20;-999;1;724;0;20;7,6;EMPLEADO ;C1;1250000;0,18;1;7310000;2023;0,028;60; HOMBRE;256000;0,2;2;2;arriendo;tecnica/tecnologica;2;2;0
21;350;0;700;0;29;5,5;EMPLEADO ;C1;1700000;0,06;1;14900000;2023;0,029;60; HOMBRE;528491;0,31;1;1;propia_pagando;basica;3;4;1
22;635;0;-999;1;41;5,7;EMPLEADO ;C1;5000000;0;0;24000000;2023;0,029;72; HOMBRE;797864;0,16;15;4;propia;superior;1;3;0
23;410;0;802;0;37;7,3;EMPLEADO ;C1;1743214;0,89;1;12000000;2023;0,03;60; HOMBRE;431230;0,25;8;3;propia_pagando;tecnica/tecnologica;2;4;0
24;750;0;-999;1;34;5,9;EMPLEADO ;B1;2140000;0,31;0;9910000;2023;0,03;60; MUJER;365155;0,17;7;3;propia_pagando;media;2;3;0
25;725;0;-999;1;23;5,4;EMPLEADO ;B1;1160000;0;0;16910000;2023;0,03;72; HOMBRE;577386;0,5;2;2;arriendo;media;2;2;0
26;695;0;-999;1;25;5,3;EMPLEADO ;B1;1600000;0;0;10580000;2023;0,03;60; MUJER;383913;0,24;3;2;arriendo;media;2;3;0
27;732;0;-999;1;30;8,5;EMPLEADO ;B1;1810000;0,26;0;11340000;2023;0,022;69; MUJER;397008;0,22;6;3;propia;superior;1;2;0
28;558;0;795;0;28;5,4;EMPLEADO ;C1;2100000;0,42;1;16410000;2023;0,03;48; HOMBRE;649450;0,31;2;1;propia_pagando;basica;3;4;1
29;883;0;-999;1;44;7;INDEPENDIENTE;B1;1526000;0,05;0;12150000;2023;0,03;48; HOMBRE;482651;0,32;10;3;propia;tecnica/tecnologica;1;4;0
30;750;0;-999;1;25;5,8;INDEPENDIENTE;B1;3350000;0,17;1;17495999;2023;0,03;72; HOMBRE;610000;0,18;4;3;propia_pagando;media;2;3;0
31;708;0;488;0;41;5,5;INDEPENDIENTE;B1;1800000;0;1;13624000;2023;0,03;45; HOMBRE;556881;0,31;1;1;arriendo;basica;2;4;1
32;-999;1;828;0;21;5,2;EMPLEADO ;C1;1250000;0;1;11440000;2023;0,03;60; HOMBRE;597342;0,48;1;1;propia_pagando;basica;3;4;1
33;732;0;-999;1;24;5,1;EMPLEADO ;B1;1700000;0,14;0;12746000;2023;0,03;60; HOMBRE;462321;0,27;3;2;arriendo;media;2;3;0
34;447;0;837;0;69;5,9;EMPLEADO ;C1;1878393;0;1;7000000;2023;0,03;36; HOMBRE;326210;0,17;25;2;propia;media;1;2;0
35;718;0;-999;1;21;5,3;INDEPENDIENTE;B1;2200000;0;0;4200000;2023;0,031;24; HOMBRE;253364;0,12;1;1;arriendo;basica;2;4;1
36;634;0;-999;1;60;7,1;INDEPENDIENTE;B1;3000000;0,11;0;11420000;2023;0,031;36; HOMBRE;533006;0,18;18;3;propia;superior;1;3;0
37;727;0;-999;1;31;5,3;EMPLEADO ;B1;1400000;0;0;10450000;2023;0,031;72; HOMBRE;365973;0,26;2;1;propia_pagando;basica;3;4;1
38;626;0;769;0;24;5,1;EMPLEADO ;C1;1800000;0;1;16000000;2023;0,031;72; HOMBRE;559508;0,31;1;1;arriendo;basica;2;4;1
39;625;0;745;0;35;6,4;EMPLEADO ;C1;1200000;0,38;1;11000000;2023;0,031;60; MUJER;407678;0,34;8;3;propia_pagando;tecnica/tecnologica;2;4;0
40;-999;1;683;0;24;5,4;EMPLEADO ;C1;1625000;0,46;1;11440000;2023;0,031;60; MUJER;423918;0,26;3;2;arriendo;media;2;3;0
41;703;0;-999;1;25;5,4;EMPLEADO ;B1;1600000;0,09;0;10800000;2023;0,031;72; HOMBRE;378178;0,24;4;3;propia_pagando;tecnica/tecnologica;1;3;0
42;656;0;-999;1;25;6,5;EMPLEADO ;C1;1400000;0;0;9000000;2023;0,031;72; HOMBRE;315410;0,23;4;3;propia_pagando;media;2;4;0
43;678;0;638;0;21;6,5;INDEPENDIENTE;B1;2298000;0,02;1;12875000;2023;0,031;60; HOMBRE;600648;0,26;2;2;arriendo;media;2;2;0
44;694;0;-999;1;27;5,6;EMPLEADO ;B1;1600000;0;0;11000000;2023;0,031;60; HOMBRE;403089;0,25;5;3;propia_pagando;tecnica/tecnologica;2;3;0
45;704;0;-999;1;26;5,9;EMPLEADO ;B1;3266000;0,15;0;10050000;2023;0,031;36; HOMBRE;469314;0,14;5;3;propia_pagando;media;2;4;0
46;576;0;656;0;48;5,5;EMPLEADO ;C1;9000000;0;1;10169999;2023;0,031;72; HOMBRE;356209;0,04;1;1;propia_pagando;basica;3;4;1
47;792;0;-999;1;38;6,6;EMPLEADO ;B1;1800000;0,27;0;11200000;2023;0,031;60; MUJER;415060;0,23;9;3;propia;tecnica/tecnologica;1;3;0
48;803;0;-999;1;37;5,4;EMPLEADO ;B1;2500000;0;0;18016000;2023;0,031;72; HOMBRE;629808;0,25;2;1;arriendo;basica;2;4;1
49;390;0;821;0;24;5,2;EMPLEADO ;C1;1500000;0,25;1;3000000;2023;0,02;67; HOMBRE;175948;0,12;3;2;arriendo;media;2;3;0
50;718;0;-999;1;33;5,1;INDEPENDIENTE;B1;2000000;0;0;4600000;2023;0,031;36; HOMBRE;215945;0,11;1;1;propia_pagando;basica;3;4;1
51;751;0;-999;1;23;7,3;INDEPENDIENTE;B1;1290000;0;0;10045000;2023;0,031;72; HOMBRE;350281;0,27;2;1;arriendo;media;2;4;0
52;707;0;661;0;25;5,2;EMPLEADO ;B1;2090000;0,23;1;10545000;2023;0,031;48; HOMBRE;425083;0,2;1;1;arriendo;basica;2;4;1
53;641;0;813;0;27;5,7;EMPLEADO ;C1;2000000;0,05;1;9000000;2023;0,031;72; HOMBRE;315410;0,16;6;3;propia_pagando;tecnica/tecnologica;2;3;0
54;713;0;-999;1;36;5;EMPLEADO ;B1;2000000;0,06;0;5545000;2023;0,031;24; HOMBRE;330955;0,17;10;3;propia;media;1;4;0
55;758;0;-999;1;22;6,3;EMPLEADO ;B1;1600000;0,07;0;9245000;2023;0,031;48; MUJER;372678;0,23;2;2;arriendo;media;2;2;0
56;849;0;-999;1;27;6,2;EMPLEADO ;B1;1700000;0,1;0;9845000;2023;0,031;72; HOMBRE;343307;0,2;5;3;propia_pagando;tecnica/tecnologica;2;4;0
57;779;0;776;0;51;6,7;INDEPENDIENTE;B1;2000000;0;1;10045000;2023;0,027;36; HOMBRE;439737;0,22;20;3;propia;superior;1;2;0
58;628;0;587;0;22;4,8;EMPLEADO ;C1;1800000;0,05;1;12554000;2023;0,027;72; HOMBRE;397310;0,22;1;1;propia_pagando;basica;3;4;1
59;538;0;804;0;37;4,7;EMPLEADO ;C1;2000000;0,1;1;12920000;2023;0,027;60; HOMBRE;437250;0,22;2;1;arriendo;basica;2;4;1
60;695;0;716;0;28;6,5;EMPLEADO ;C1;1300000;0;1;12920000;2023;0,026;48; HOMBRE;474258;0,36;6;3;propia_pagando;tecnica/tecnologica;2;3;0
61;734;0;762;0;21;4,5;EMPLEADO ;C1;1600000;0,09;1;12915000;2023;0,023;60; HOMBRE;427412;0,27;2;2;arriendo;media;2;3;0
62;705;0;-999;1;28;5,3;EMPLEADO ;B1;2400000;0,21;0;10045000;2023;0,026;72; HOMBRE;310009;0,13;7;3;propia_pagando;tecnica/tecnologica;2;4;0
63;718;0;150;0;22;5,1;EMPLEADO ;B1;1400000;0,18;0;10645000;2023;0,026;72; MUJER;328526;0,23;2;2;arriendo;media;2;2;0
64;276;0;831;0;30;5,4;EMPLEADO ;B1;1300000;0,14;1;10970000;2023;0,026;72; HOMBRE;338556;0,26;1;1;propia_pagando;basica;3;4;1
65;716;0;-999;1;33;6,5;EMPLEADO ;B1;3000000;0,08;0;12920000;2024;0,025;48; HOMBRE;465197;0,16;8;3;propia;tecnica/tecnologica;1;3;0
66;571;0;702;0;22;7,9;INDEPENDIENTE;C1;3000000;0,16;1;12945000;2024;0,025;60; HOMBRE;418815;0,14;30;4;propia;superior;1;2;0
67;700;0;-999;1;39;7,3;EMPLEADO ;B1;3462000;0,27;0;12920000;2024;0,025;48; HOMBRE;465197;0,13;12;3;propia;superior;1;3;0
68;745;0;832;0;42;5,5;EMPLEADO ;C1;5100000;0,18;1;12920000;2024;0,025;36; HOMBRE;548474;0,11;3;2;propia_pagando;media;3;4;1
69;709;0;849;0;20;5,6;EMPLEADO ;C1;3000000;0,24;1;17845000;2024;0,025;60; HOMBRE;577346;0,19;1;1;arriendo;basica;2;4;0
70;736;0;-999;1;30;6,4;EMPLEADO ;B1;13000000;0,91;0;11445000;2024;0,025;36; HOMBRE;485858;0,04;8;4;propia;superior;1;3;0
71;690;0;805;0;20;5,2;EMPLEADO ;C1;1200000;0,14;1;12920000;2024;0,025;60; HOMBRE;418006;0,35;1;1;propia_pagando;basica;2;4;0
72;647;0;422;0;24;5,8;EMPLEADO ;B1;1900000;0,06;1;14645000;2024;0,025;72; HOMBRE;440583;0,23;3;2;arriendo;media;2;3;0
73;743;0;-999;1;33;7,1;EMPLEADO ;B1;3000000;0,17;0;11045000;2024;0,025;72; MUJER;332280;0,11;7;3;propia_pagando;tecnica/tecnologica;2;4;0
74;717;0;-999;1;34;8;EMPLEADO ;B1;2000000;0,15;0;11445000;2024;0,025;60; HOMBRE;370285;0,19;9;3;propia;superior;1;3;0
75;721;0;726;0;22;5,7;EMPLEADO ;C1;2100000;0,07;1;13270000;2024;0,025;60; HOMBRE;429330;0,2;2;2;arriendo;media;2;2;0
76;764;0;-999;1;29;7,3;EMPLEADO ;C1;7000000;0;0;16645000;2024;0,025;60; HOMBRE;1159658;0,17;6;3;propia_pagando;tecnica/tecnologica;2;3;0
77;712;0;-999;1;24;5,8;EMPLEADO ;B1;2800000;0,29;0;8645000;2024;0,025;60; HOMBRE;366994;0,13;3;2;arriendo;media;2;3;0
78;739;0;735;0;25;6,1;EMPLEADO ;C1;2500000;0;1;20045000;2024;0,025;72; HOMBRE;603037;0,24;4;3;propia_pagando;tecnica/tecnologica;2;4;0
79;803;0;-999;1;49;5,9;INDEPENDIENTE;B1;23000000;2,78;0;11445000;2024;0,025;36; HOMBRE;493870;0,02;22;4;propia;superior;1;2;0
80;819;0;-999;1;45;6,8;EMPLEADO ;B1;4000000;0,33;0;13225000;2024;0,025;36; MUJER;570680;0,14;15;3;propia;tecnica/tecnologica;1;4;0
81;715;0;-999;1;24;5,5;EMPLEADO ;B1;1300000;0,27;0;16045000;2024;0,025;60; MUJER;519110;0,4;3;2;arriendo;media;2;3;0
82;736;0;-999;1;21;5,4;EMPLEADO ;B1;2550000;0;0;17045000;2024;0,025;60; HOMBRE;551464;0,22;2;2;arriendo;media;2;2;0
83;731;0;-999;1;35;5,6;EMPLEADO ;B1;5000000;0;0;14045000;2024;0,025;18; HOMBRE;978516;0,2;10;3;propia_pagando;tecnica/tecnologica;2;3;0
84;667;0;598;0;35;7,6;EMPLEADO ;B1;2500000;0,33;1;11725000;2024;0,025;72; HOMBRE;360944;0,14;8;3;propia_pagando;superior;1;3;0
85;536;0;830;0;27;5,9;EMPLEADO ;C1;2500000;0,63;1;11045000;2024;0,025;72; MUJER;332280;0,13;5;3;propia_pagando;media;2;4;0
86;720;0;-999;1;38;8,3;EMPLEADO ;B1;2085000;0,28;0;21045000;2024;0,025;60; HOMBRE;680877;0,33;11;3;propia;superior;1;3;0
87;749;0;-999;1;36;7,1;EMPLEADO ;B1;9000000;0,16;0;26045000;2024;0,023;48; HOMBRE;901773;0,1;13;4;propia;superior;1;2;0
88;619;0;777;0;23;5,1;EMPLEADO ;B1;2000000;0,21;1;15845000;2024;0,023;72; HOMBRE;452442;0,23;3;2;arriendo;media;2;3;0
89;726;0;667;0;21;5,1;EMPLEADO ;B1;1700000;0,1;1;13545000;2024;0,023;48; HOMBRE;497182;0,29;1;1;propia_pagando;basica;2;4;1
90;837;0;403;0;25;5,2;EMPLEADO ;B1;1500000;0,03;1;7587000;2024;0,023;36; HOMBRE;327931;0,22;4;2;arriendo;media;2;3;0
91;798;0;770;0;29;8,1;EMPLEADO ;B1;3000000;0;1;14545000;2024;0,023;36; HOMBRE;608676;0,2;7;3;propia_pagando;superior;1;3;0
92;775;0;-999;1;32;8,1;EMPLEADO ;B1;3500000;0,12;0;18045000;2024;0,023;72; HOMBRE;515261;0,15;9;4;propia;superior;1;2;0
93;741;0;761;0;21;5,3;INDEPENDIENTE;C1;1800000;0,24;1;13420000;2024;0,023;72; HOMBRE;383198;0,21;2;2;arriendo;media;2;2;0
94;752;0;433;0;28;5,8;EMPLEADO ;B1;1400000;0;1;11145000;2024;0,023;50; HOMBRE;377401;0,27;6;3;propia_pagando;tecnica/tecnologica;2;3;0
95;321;0;782;0;24;7,3;EMPLEADO ;C1;1800000;0;1;9545000;2024;0,023;48; HOMBRE;337164;0,19;3;2;arriendo;media;2;3;0
96;630;0;767;0;29;5,9;EMPLEADO ;C1;1600000;0,23;1;13112000;2024;0,023;72; MUJER;383581;0,24;6;3;propia_pagando;media;2;4;0
97;694;0;792;0;20;5,4;EMPLEADO ;C1;3500000;0,13;1;12545000;2024;0,023;48; HOMBRE;434354;0,12;2;2;arriendo;media;2;2;0
98;829;0;-999;1;45;7,5;EMPLEADO ;B1;2500000;0,25;0;13224000;2024;0,0215;72; HOMBRE;362736;0,15;14;3;propia;superior;1;3;0
99;752;0;-999;1;29;5,7;EMPLEADO ;B1;2800000;0,14;0;16145000;2024;0,0215;72; HOMBRE;442860;0,16;6;3;propia_pagando;tecnica/tecnologica;2;3;0
100;734;0;-999;1;38;5,8;EMPLEADO ;B1;2030000;0,2;0;6645000;2024;0,0215;60; HOMBRE;198168;0,1;11;3;propia_pagando;media;1;4;0
101;-999;1;814;0;33;5,5;INDEPENDIENTE;C1;3000000;0,06;1;16545000;2024;0,0215;60; HOMBRE;504958;0,17;1;1;arriendo;basica;3;4;1
102;818;0;-999;1;42;7,2;INDEPENDIENTE;B1;6000000;0;0;9545000;2024;0,0215;12;MUJER;910907;0,15;15;4;propia;superior;1;3;0
103;791;0;-999;1;38;5,3;EMPLEADO ;B1;2400000;0,23;0;11695000;2024;0,0215;72;HOMBRE;328982;0,14;9;3;propia_pagando;tecnica/tecnologica;2;4;0
104;747;0;-999;1;37;5,1;INDEPENDIENTE;B1;4000000;0,1;0;13045000;2024;0,0215;48;HOMBRE;447508;0,11;12;3;propia_pagando;media;1;3;0
105;767;0;-999;1;43;6,4;EMPLEADO ;B1;3000000;0,2;0;17035000;2024;0,0215;60;MUJER;508021;0,17;16;3;propia;superior;1;4;0
106;619;0;286;0;27;5,1;EMPLEADO ;B1;1300000;0;0;8184000;2024;0,0215;72;MUJER;224488;0,17;5;2;arriendo;media;2;3;0
107;724;0;796;0;22;5,7;EMPLEADO ;B1;1300000;0,15;0;16545000;2024;0,0215;72;MUJER;453832;0,35;2;2;arriendo;media;2;2;0
108;734;0;-999;1;26;6,7;EMPLEADO ;B1;1600000;0;0;9174000;2024;0,0215;72;HOMBRE;534174;0,33;4;3;propia_pagando;tecnica/tecnologica;2;3;0
109;743;0;826;0;21;5,2;EMPLEADO ;C1;1550000;0,33;0;15625000;2024;0,0215;72;HOMBRE;439534;0,28;2;2;arriendo;media;2;2;0
110;762;0;-999;1;24;5,2;EMPLEADO ;B1;2300000;0;0;14704000;2024;0,0215;60;HOMBRE;448798;0,2;3;2;arriendo;media;2;3;0
111;697;0;721;0;22;6,1;INDEPENDIENTE;C1;3000000;0;0;4545000;2024;0,0208;27;HOMBRE;226828;0,08;2;2;arriendo;media;2;3;0
112;737;0;-999;1;25;6;EMPLEADO ;B1;1800000;0,09;0;12775000;2024;0,0208;60;MUJER;389920;0,22;4;3;propia_pagando;tecnica/tecnologica;2;4;0
113;730;0;-999;1;34;4,5;EMPLEADO ;B1;2500000;0;0;6695000;2024;0,0208;36;HOMBRE;273720;0,11;8;3;propia_pagando;media;1;3;0
114;-999;1;909;0;23;5,2;EMPLEADO ;B1;1700000;0,19;0;18045000;2024;0,0208;23;HOMBRE;550772;0,32;2;2;arriendo;media;2;2;0
115;783;0;-999;1;39;7,7;INDEPENDIENTE;B1;3000000;0,02;0;14045000;2024;0,0208;36;HOMBRE;558130;0,19;18;4;propia;superior;1;3;0
116;769;0;-999;1;47;7,7;EMPLEADO ;B1;3000000;0;0;11745000;2024;0,0208;48;MUJER;389168;0,13;20;4;propia;superior;1;2;0
117;778;0;-999;1;22;5,6;EMPLEADO ;B1;1800000;0,1;0;9245000;2024;0,0208;36;HOMBRE;367384;0,2;2;2;arriendo;media;2;2;0
118;722;0;-999;1;29;7,4;INDEPENDIENTE;B1;16000000;0,57;0;16274000;2024;0,0208;48;MUJER;539236;0,03;8;3;propia_pagando;superior;1;3;0
119;719;0;-999;1;21;6;EMPLEADO ;B1;1500000;0,05;0;13545000;2024;0,0208;72;MUJER;364532;0,24;2;2;arriendo;media;2;2;0
120;756;0;-999;1;35;5,9;EMPLEADO ;B1;3000000;0,18;0;13245000;2024;0,0208;48;MUJER;438871;0,15;10;3;propia_pagando;tecnica/tecnologica;2;4;0
121;694;0;801;0;20;5,1;EMPLEADO ;C1;3000000;0,53;1;18045000;2024;0,0208;72;HOMBRE;485639;0,16;1;1;arriendo;basica;2;4;0
122;805;0;-999;1;33;5,3;EMPLEADO ;B1;2450000;0;0;13545000;2024;0,0208;48;HOMBRE;448811;0,18;2;1;propia_pagando;basica;3;4;1
123;830;0;-999;1;21;6,5;EMPLEADO ;B1;1650000;0;0;5045000;2024;0,0208;12;HOMBRE;479400;0,29;1;1;arriendo;basica;2;4;0
124;789;0;-999;1;20;5,9;EMPLEADO ;B1;2000000;0,02;0;10744000;2024;0,0208;36;MUJER;426952;0,21;1;1;propia_pagando;basica;2;4;0
125;686;0;-999;1;25;4,5;EMPLEADO ;B1;3470000;0,27;0;8545000;2024;0,0208;48;HOMBRE;283137;0,08;4;3;propia_pagando;media;1;3;0
126;763;0;-999;1;34;18,8;EMPLEADO ;B1;2200000;0,15;0;11695000;2024;0,0208;72;HOMBRE;314743;0,14;9;4;propia;superior;1;2;0
127;726;0;864;0;20;6,1;EMPLEADO ;C1;1400000;0,61;1;13045000;2024;0,0208;72;HOMBRE;360206;0,26;1;1;arriendo;basica;2;4;0
128;723;0;-999;1;31;4,8;EMPLEADO ;B1;220000;0,19;0;15054000;2024;0,0208;68;HOMBRE;415627;1,89;7;2;propia_pagando;media;2;3;0
129;705;0;-999;1;20;5,4;EMPLEADO ;B1;2100000;0,15;0;11695000;2024;0,0208;48;HOMBRE;395698;0,19;1;1;arriendo;basica;3;4;1
130;767;0;-999;1;32;5,2;EMPLEADO ;B1;2100000;0,12;0;10045000;2024;0,0208;40;HOMBRE;372374;0,18;8;3;propia_pagando;tecnica/tecnologica;2;4;0
131;756;0;-999;1;21;6,4;EMPLEADO ;B1;2600000;0,01;0;12945000;2024;0,0208;48;HOMBRE;437992;0,17;2;2;arriendo;media;2;3;0
132;758;0;-999;1;21;5,1;INDEPENDIENTE;B1;1450000;0;0;6045000;2024;0,0208;36;HOMBRE;244452;0,17;1;1;propia_pagando;basica;2;4;0
133;728;0;-999;1;26;6,7;EMPLEADO ;B1;3800000;0;0;15054000;2024;0,0197;36;HOMBRE;608764;0,16;5;3;propia_pagando;tecnica/tecnologica;2;3;0
134;-999;1;755;0;20;5,1;EMPLEADO ;C1;1600000;0,25;1;6684000;2024;0,0197;24;HOMBRE;361280;0,23;1;1;arriendo;basica;3;4;0
135;-999;1;860;0;22;7;EMPLEADO ;C1;1800000;0,01;1;15545000;2024;0,0197;60;HOMBRE;466784;0,26;2;2;arriendo;media;2;3;0
136;799;0;-999;1;31;7,1;EMPLEADO ;B1;2800000;0,22;0;8654000;2024;0,0197;48;MUJER;286475;0,1;8;3;propia_pagando;tecnica/tecnologica;2;4;0
137;728;0;-999;1;26;5,8;EMPLEADO ;B1;1400000;0;0;11595000;2024;0,0197;60;HOMBRE;348174;0,25;4;3;propia_pagando;media;2;3;0
138;-999;1;639;0;20;6,5;EMPLEADO ;C1;1500000;0,1;1;11344000;2024;0,0197;48;HOMBRE;375522;0,25;1;1;arriendo;basica;2;4;0
139;-999;1;784;0;27;6,5;EMPLEADO ;C1;2300000;0,55;1;11695000;2024;0,0197;48;HOMBRE;387142;0,17;5;3;propia_pagando;tecnica/tecnologica;2;3;0
140;739;0;-999;1;41;5,9;EMPLEADO ;B1;4000000;0,04;0;11344000;2024;0,0197;12;HOMBRE;304118;0,08;16;3;propia;media;1;4;0
141;708;0;-999;1;22;7,7;EMPLEADO ;B1;3000000;0,05;0;12045000;2024;0,0197;60;MUJER;361686;0,12;2;2;arriendo;media;2;3;0
142;695;0;-999;1;44;4,6;EMPLEADO ;B1;2800000;0,22;0;6045000;2024;0,0197;36;HOMBRE;236021;0,08;18;3;propia;media;1;3;0
143;739;0;-999;1;28;5,3;EMPLEADO ;B1;1550000;0,01;0;13674000;2024;0,0197;63;HOMBRE;380787;0,25;6;3;propia_pagando;tecnica/tecnologica;2;4;0
144;-999;1;860;0;29;5,3;INDEPENDIENTE;B1;2350000;0,11;1;14045000;2024;0,0197;36;HOMBRE;548374;0,23;1;1;propia_pagando;basica;3;4;1
145;717;0;-999;1;33;6,5;EMPLEADO ;C1;3000000;0,01;0;17025000;2024;0,0197;72;HOMBRE;444501;0,15;9;3;propia;superior;1;3;0
146;661;0;-999;1;36;6,6;EMPLEADO ;B1;4992000;0,35;0;13045000;2024;0,0197;48;HOMBRE;422699;0,08;12;3;propia;tecnica/tecnologica;1;4;0
147;754;0;-999;1;25;7,5;EMPLEADO ;B1;1550000;0;0;11737300;2024;0,0197;72;HOMBRE;306438;0,2;4;3;propia_pagando;media;2;3;0
148;-999;1;771;0;65;5,4;EMPLEADO ;C1;2562000;0,27;1;10045000;2024;0,0197;48;HOMBRE;325489;0,13;35;2;propia;basica;1;2;0
149;-999;1;704;0;27;6,4;EMPLEADO ;C1;2800000;0,29;1;16045000;2024;0,0197;72;HOMBRE;418914;0,15;6;3;propia_pagando;tecnica/tecnologica;2;3;0
150;711;0;-999;1;46;7,1;EMPLEADO ;B1;2800000;0,02;0;11524000;2024;0,0197;48;HOMBRE;373414;0,13;19;4;propia;superior;1;3;0
151;811;0;-999;1;43;6,5;EMPLEADO ;B1;4000000;0,06;0;7045000;2024;0,0197;15;HOMBRE;547051;0,14;15;4;propia;superior;1;2;0
152;-999;0;617;0;21;5,8;EMPLEADO ;C1;1400000;0;1;6045000;2024;0,0197;60;HOMBRE;343998;0,25;1;1;arriendo;basica;2;4;0
153;714;0;-999;1;49;9;INDEPENDIENTE;B1;4800000;0,01;0;11045000;2024;0,0197;48;HOMBRE;357893;0,07;22;4;propia;superior;1;2;0
154;715;0;-999;1;38;8;EMPLEADO ;B1;1400000;0,12;0;8045000;2024;0,0197;24;MUJER;423904;0,3;13;3;propia_pagando;superior;1;3;0
155;771;0;-999;1;34;7,3;EMPLEADO ;B1;2300000;0,06;0;15845000;2024;0,0197;72;HOMBRE;424784;0,18;9;3;propia_pagando;tecnica/tecnologica;2;4;0
156;688;0;-999;1;31;8,1;EMPLEADO ;B1;1938000;0,06;0;11045000;2025;0,0187;48;HOMBRE;358360;0,18;7;3;propia_pagando;superior;1;3;0
157;748;0;-999;1;46;8;INDEPENDIENTE;B1;3300000;0,25;0;13300000;2025;0,0187;60;HOMBRE;390466;0,12;20;4;propia;superior;1;2;0
158;-999;1;817;0;20;7;EMPLEADO ;C1;1800000;0,19;1;7695000;2025;0,0187;48;HOMBRE;249668;0,14;1;1;arriendo;basica;2;4;0
159;-999;1;779;0;21;6;EMPLEADO ;C1;3000000;0,22;1;10045000;2025;0,0187;48;HOMBRE;325914;0,11;1;1;propia_pagando;basica;2;4;0
160;-999;1;794;0;25;6,2;EMPLEADO ;C1;3300000;0,11;1;15254000;2025;0,0187;72;HOMBRE;397946;0,12;3;2;arriendo;media;2;3;0
161;665;0;-999;1;34;7,4;EMPLEADO ;B1;4100000;0,15;0;13545000;2025;0,0187;71;HOMBRE;355676;0,09;9;3;propia_pagando;superior;1;3;0
